scientificName
Accipiter brevipes
Acridotheres melanopterus
Aegolius funereus
Aepypodius bruijnii
Agelastes meleagrides
Aix sponsa
Alauda razae
Saucerottia beryllina
Chrysuronia coeruleogularis
Saucerottia cyanura
Chrysuronia lilliae
Leucolia violiceps
Amazona arausiaca
Amazona auropalliata
Amazona barbadensis
Amazona collaria
Amazona viridigenalis
Amazona xantholora
Ammospiza leconteii
Amphispiza bilineata
Anas aucklandica
Anas rubripes
Androphobus viridis
Anser caerulescens
Anser rossii
Anthracoceros marchei
Anthropoides paradiseus
Anthus antarcticus
Anthus hoeschi
Anthus pratensis
Antrostomus vociferus
Apalis fuscigularis
Aquila adalberti
Ara glaucogularis
Ara rubrogenys
Aramides axillaris
Arcanator orostruthus
Archilochus alexandri
Archilochus colubris
Ardenna gravis
Ardeola idae
Artemisiospiza belli
Artemisiospiza nevadensis
Asio clamator
Asio otus
Asthenes berlepschi
Asthenes heterura
Asthenes huancavelicae
Asthenes urubambensis
Atlapetes melanopsis
Aythya affinis
Aythya americana
Aythya collaris
Aythya valisineria
Batrachostomus stellatus
Bolborhynchus ferrugineifrons
Bombycilla cedrorum
Bonasa umbellus
Bostrychia bocagei
Bradypterus graueri
Branta bernicla
Branta hutchinsii
Branta sandvicensis
Brotogeris pyrrhoptera
Buteo buteo
Buteo galapagoensis
Buteo japonicus
Buteo rufinus
Cacatua citrinocristata
Cacatua ophthalmica
Calamospiza melanocorys
Calcarius pictus
Calendulauda africanoides
Callipepla douglasii
Callonetta leucophrys
Calothorax lucifer
Calothorax pulcher
Calypte costae
Calyptophilus tertius
Campylopterus calcirupicola
Campylopterus diamantinensis
Campylopterus largipennis
Campylorhamphus multostriatus
Campylorhynchus albobrunneus
Campylorhynchus capistratus
Campylorhynchus chiapensis
Campylorhynchus gularis
Campylorhynchus humilis
Campylorhynchus rufinucha
Campylorhynchus zonatus
Cardellina canadensis
Cardellina pusilla
Catharus aurantiirostris
Catharus frantzii
Catharus guttatus
Catharus minimus
Catharus swainsoni
Ceblepyris cucullatus
Cephalopterus glabricollis
Certhia americana
Ceyx fallax
Chaetocercus bombus
Chaetops frenatus
Chaetura fumosa
Chlamydotis macqueenii
Chlorostilbon assimilis
Chondestes grammacus
Cichlopsis gularis
Cinclodes palliatus
Cinclus mexicanus
Cinnyris loveridgei
Circaetus beaudouini
Circaetus gallicus
Circaetus pectoralis
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus maurus
Circus melanoleucos
Circus pygargus
Circus spilonotus
Cistothorus apolinari
Cistothorus palustris
Clamator glandarius
Clanga clanga
Clanga pomarina
Coccyzus americanus
Coccyzus erythropthalmus
Coeligena phalerata
Colaptes fernandinae
Colibri delphinae
Colinus cristatus
Colinus nigrogularis
Columba malherbii
Columba thomensis
Conirostrum binghami
Conopophaga cearae
Contopus sordidulus
Contopus virens
Copsychus sechellarum
Coturnicops noveboracensis
Crax fasciolata
Crithagra leucoptera
Crotophaga sulcirostris
Cuculus optatus
Cuculus saturatus
Cyanerpes cyaneus
Cynanthus latirostris
Phaeoptila sordida
Cypseloides niger
Deltarhynchus flammulatus
Dendrocygna autumnalis
Diglossa baritula
Doricha eliza
Drymophila hellmayri
Ducula aenea
Ducula bakeri
Ducula bicolor
Ducula brenchleyi
Ducula nicobarica
Ducula rosacea
Ducula subflavescens
Dysithamnus plumbeus
Elaenia frantzii
Eleothreptus anomalus
Emberiza cineracea
Emberizoides duidae
Empidonax albigularis
Empidonax alnorum
Empidonax flavescens
Empidonax fulvifrons
Empidonax hammondii
Empidonax minimus
Empidonax oberholseri
Empidonax occidentalis
Empidonax traillii
Empidonax virescens
Empidonax wrightii
Eubucco glaucogularis
Eudocimus albus
Eulipoa wallacei
Eupherusa poliocerca
Eurochelidon sirintarae
Falco amurensis
Falco biarmicus
Falco cherrug
Falco columbarius
Falco concolor
Falco severus
Falco tinnunculus
Falco vespertinus
Fluvicola pica
Foudia aldabrana
Gallinago media
Geokichla crossleyi
Geokichla guttata
Geospiza heliobates
Geospiza pallida
Geothlypis beldingi
Geothlypis formosa
Geothlypis philadelphia
Geothlypis tolmiei
Geothlypis trichas
Glareola nordmanni
Glareola ocularis
Glaucidium brodiei
Glaucidium sylvaticum
Glaucis aeneus
Glaucis dohrnii
Goura scheepmakeri
Grus japonensis
Gyps rueppelli
Gyps tenuirostris
Haematopus moquini
Haliaeetus leucoryphus
Hapalopsittaca amazonina
Hapalopsittaca fuertesi
Hapalopsittaca pyrrhops
Harpia harpyja
Hartertula flavoviridis
Hedydipna pallidigaster
Herpsilochmus stotzi
Hirundo megaensis
Hylopezus auricularis
Hylophilus flavipes
Hylopsar cupreocauda
Icteria virens
Icterus northropi
Indicator pumilio
Ixoreus naevius
Klais guimeti
Knipolegus franciscanus
Lampornis clemenciae
Laniarius brauni
Laterallus jamaicensis
Legatus leucophaius
Leiothlypis celata
Leiothlypis luciae
Leiothlypis peregrina
Leiothlypis ruficapilla
Leiothlypis virginiae
Lepidothrix iris
Lepidothrix vilasboasi
Leptotila wellsi
Locustella accentor
Lophodytes cucullatus
Lophornis delattrei
Lophornis gouldii
Lorius chlorocercus
Macrocephalon maleo
Malaconotus gladiator
Malaconotus lagdeni
Malimbus ballmanni
Manacus aurantiacus
Mareca americana
Megapodius bernsteinii
Megapodius cumingii
Megapodius freycinet
Megapodius geelvinkianus
Megapodius laperouse
Melanerpes superciliaris
Melanitta americana
Melanopareia maranonica
Melanoperdix niger
Melignomon eisentrauti
Mellisuga helenae
Melospiza georgiana
Melospiza lincolnii
Melospiza melodia
Merops mentalis
Merulaxis stresemanni
Metopothrix aurantiaca
Micrathene whitneyi
Microcarbo coronatus
Milvus aegyptius
Mirafra somalica
Mitrephanes phaeocercus
Mitu tuberosum
Mniotilta varia
Molothrus armenti
Myadestes townsendi
Myiarchus cinerascens
Myiarchus crinitus
Myiodynastes luteiventris
Myzomela chermesina
Neomorphus geoffroyi
Neopelma aurifrons
Neophron percnopterus
Nesospiza wilkinsi
Nisaetus nipalensis
Nomonyx dominicus
Nystactes noanamae
Ochthoeca salvini
Odontophorus dialeucos
Odontophorus gujanensis
Oporornis agilis
Oreotrochilus adela
Oreotrochilus cyanolaemus
Otidiphaps insularis
Otus insularis
Otus scops
Oxypogon stuebelii
Oxyura maccoa
Pachyramphus major
Palmeria dolei
Paradisornis rudolphi
Parkesia motacilla
Parkesia noveboracensis
Passerella arborea
Passerella iliaca
Patagioenas cayennensis
Patagioenas subvinacea
Pelecanus onocrotalus
Penelope ochrogaster
Penelope perspicax
Penelope pileata
Penelope purpurascens
Penelope superciliaris
Pernis ptilorhynchus
Peucaea cassinii
Phaethornis anthophilus
Phalaenoptilus nuttallii
Pheugopedius fasciatoventris
Pheugopedius felix
Philortyx fasciatus
Phoenicopterus ruber
Phylloscartes ceciliae
Pipile cujubi
Pipilo chlorurus
Pipilo erythrophthalmus
Pipilo maculatus
Ploceus bannermani
Ploceus megarhynchus
Ploceus nicolli
Ploceus ruweti
Ploceus subpersonatus
Podilymbus podiceps
Arizelospar femoralis
Poliolais lopezi
Polystictus pectoralis
Poospiza garleppi
Primolius couloni
Procnias tricarunculatus
Protonotaria citrea
Pselliophorus luteoviridis
Pseudastur polionotus
Pseudocolopteryx dinelliana
Psittacara erythrogenys
Psittacara frontatus
Psittacara wagleri
Psophia crepitans
Ptilinopus rarotongensis
Puffinus subalaris
Pyrilia pyrilia
Pyrocephalus rubinus
Pyrrhura albipectus
Pyrrhura caeruleiceps
Pyrrhura pfrimeri
Rallus antarcticus
Rallus elegans
Rallus madagascariensis
Rallus semiplumbeus
Ramphastos sulfuratus
Ramphodon naevius
Recurvirostra americana
Recurvirostra avosetta
Corthylio calendula
Rhegmatorhina hoffmannsi
Rheinardia nigrescens
Rheinardia ocellata
Rhynchophanes mccownii
Rhynchopsitta pachyrhyncha
Rollulus rouloul
Rynchops flavirostris
Salpinctes obsoletus
Sarothrura ayresi
Sayornis nigricans
Sayornis phoebe
Scepomycter winifredae
Scolopax rochussenii
Scytalopus alvarezlopezi
Scytalopus canus
Scytalopus gettyae
Scytalopus latebricola
Scytalopus panamensis
Scytalopus perijanus
Seiurus aurocapilla
Selasphorus calliope
Selasphorus sasin
Setophaga americana
Setophaga caerulescens
Setophaga castanea
Setophaga citrina
Setophaga discolor
Setophaga dominica
Setophaga fusca
Setophaga graciae
Setophaga magnolia
Setophaga nigrescens
Setophaga occidentalis
Setophaga palmarum
Setophaga pensylvanica
Setophaga petechia
Setophaga pinus
Setophaga ruticilla
Setophaga tigrina
Setophaga townsendi
Setophaga virens
Sheppardia gunningi
Sheppardia montana
Sialia mexicana
Sialia sialis
Siphonorhis brewsteri
Sitta ledanti
Spatula cyanoptera
Spatula discors
Spinus siemiradzkii
Spizella atrogularis
Spizella breweri
Spizella pallida
Spizella passerina
Spizella pusilla
Sporophila corvina
Sporophila nigrorufa
Sporophila torqueola
Steatornis caripensis
Sternula balaenarum
Strix butleri
Strix nebulosa
Surnia ulula
Synallaxis beverlyae
Synallaxis hypochondriaca
Synallaxis zimmeri
Sypheotides indicus
Tachybaptus dominicus
Talegalla cuvieri
Tangara abbas
Terenura sicki
Thryomanes bewickii
Thryophilus nicefori
Thryorchilus browni
Tinamus major
Todirostrum nigriceps
Touit costaricensis
Treron chloropterus
Treron psittaceus
Treron sanctithomae
Troglodytes hiemalis
Troglodytes pacificus
Trogon elegans
Tropicoperdix charltonii
Tropicoperdix chloropus
Tropicoperdix graydoni
Tropicoperdix tonkinensis
Turdus helleri
Turdus migratorius
Turdus obsoletus
Tyrannus crassirostris
Tyrannus dominicensis
Tyrannus verticalis
Tyrannus vociferans
Aythya ferina
Calidris pygmaea
Hypocnemis rondoni
Loriculus exilis
Myiothlypis basilica
Pycnonotus penicillatus
Ridgwayia pinicola
Stachyris maculata
Stachyris nigricollis
Touit stictopterus
Veniliornis kirkii
Vermivora cyanoptera
Vini peruviana
Vireo bellii
Vireo flavifrons
Vireo flavoviridis
Vireo gilvus
Vireo griseus
Vireo philadelphicus
Vireo plumbeus
Vireo solitarius
Xipholena lamellipennis
Xiphorhynchus atlanticus
Zimmerius vilissimus
Zonotrichia leucophrys
Zosterops feae
Zosterops kulalensis
Graminicola striatus
Accipiter henicogrammus
Aquila nipalensis
Aviceda jerdoni
Buteogallus solitarius
Buteo ridgwayi
Cryptoleucopteryx plumbea
Haliaeetus albicilla
Haliaeetus leucogaster
Milvus milvus
Nisaetus cirrhatus
Spilornis elgini
Acrocephalus vaughani
Anas nesiotis
Dendrocygna guttata
Somateria fischeri
Aerodramus sawtelli
Aerodramus whiteheadi
Collocalia esculenta
Ardea intermedia
Gorsachius goisagi
Cracticus louisiadensis
Malacoptila striata
Aceros nipalensis
Capito brunneipectus
Capito fitzpatricki
Capito quinticolor
Lyncornis macrotis
Caryothraustes erythromelas
Charadrius bicinctus
Vanellus leucurus
Chloropsis cyanopogon
Ciconia episcopus
Pampusana kubaryi
Columba punicea
Columbina passerina
Ducula oceanica
Leptotila conoveri
Leptotila ochraceiventris
Treron floris
Treron phayrei
Turacoena sulaensis
Dendrocitta leucogastra
Phytotoma raimondii
Procnias nudicollis
Centropus chlororhynchos
Cercococcyx lemaireae
Cercococcyx mechowi
Chalcites minutillus
Coccyzus rufigularis
Dicaeum dayakorum
Phoebastria nigripes
Emberiza yessoensis
Erythrura coloria
Falco jugger
Falcunculus frontatus
Drepanis coccinea
Hemignathus lucidus
Loxia megaplaga
Asthenes luizae
Clibanornis rufipectus
Cranioleuca dissita
Phacellodomus dorsalis
Jacamaralcyon tridactyla
Progne murphyi
Anumara forbesi
Icterus laudabilis
Leistes defilippii
Actophilornis albinucha
Larus bulleri
Sterna aurantia
Actinodura sodangorum
Argya cinereifrons
Buccanodon dowsetti
Buccanodon duchaillui
Microptilotis vicina
Pomarea nigra
Terpsiphone corvina
Motacilla samveasnae
Calliope obscura
Ficedula hodgsoni
Ficedula superciliaris
Saxicola torquatus
Aethopyga linaraborae
Aethopyga primigenia
